roundId,multiplier,timestamp
1097,11.81,2025-12-29 11:36:57.214288
1098,6.37,2025-12-29 11:37:28.057904
1099,2.51,2025-12-29 11:37:47.028172
1100,9.09,2025-12-29 11:38:21.333193
1101,9.39,2025-12-29 11:38:56.552932
1102,1.32,2025-12-29 11:39:07.595872
1103,1.79,2025-12-29 11:39:23.25019
1104,2.19,2025-12-29 11:39:40.244128
1105,1.7,2025-12-29 11:39:54.831392
1106,1.28,2025-12-29 11:40:05.554633
1107,1.09,2025-12-29 11:40:14.880026
1108,2.74,2025-12-29 11:40:35.382142
1109,2.97,2025-12-29 11:40:56.74044
1110,1.14,2025-12-29 11:41:05.684489
1111,1.39,2025-12-29 11:41:17.909906
1112,2.6,2025-12-29 11:41:37.433681
1113,1.75,2025-12-29 11:41:52.306784
1114,1.79,2025-12-29 11:42:07.753085
1115,5.37,2025-12-29 11:42:35.894305
1116,13.13,2025-12-29 11:43:14.778776
1117,2.98,2025-12-29 11:43:36.217548
1118,4,2025-12-29 11:43:41.503752
1119,63.04,2025-12-29 11:44:33.417745
1120,32.54,2025-12-29 11:45:23.662789
1121,28.21,2025-12-29 11:46:12.174784
1122,2.39,2025-12-29 11:46:30.507233
1123,1.66,2025-12-29 11:46:44.725114
1124,1.67,2025-12-29 11:46:58.563757
1125,1.56,2025-12-29 11:47:12.314188
1126,1.19,2025-12-29 11:47:22.519396
1127,2.1,2025-12-29 11:47:39.517288
1128,7.62,2025-12-29 11:48:11.738598
1129,1.15,2025-12-29 12:03:48.776265
1130,2.29,2025-12-29 12:04:06.744979
1131,1.52,2025-12-29 12:04:28.92223
1132,1.74,2025-12-29 12:04:43.13521
1133,5.42,2025-12-29 12:05:12.07862
1134,4.92,2025-12-29 12:05:38.992331
1135,1.02,2025-12-29 12:05:47.144528
1136,1.29,2025-12-29 12:05:58.417495
1137,1.33,2025-12-29 12:06:09.755987
1138,7.55,2025-12-29 12:06:42.180671
1139,1.34,2025-12-29 12:06:53.79534
1140,5.65,2025-12-29 12:07:22.746851
1141,4.25,2025-12-29 12:07:47.891083
1142,5.43,2025-12-29 12:08:22.411138
1143,4.13,2025-12-29 12:09:00.379656
1144,1.08,2025-12-29 12:09:09.785732
1145,6.93,2025-12-29 12:09:40.717521
1146,1.16,2025-12-29 12:09:50.621196
1147,2.39,2025-12-29 12:10:09.379888
1148,1.06,2025-12-29 12:10:18.325315
1149,41.54,2025-12-29 12:10:31.538089
1150,1.69,2025-12-29 12:10:45.303571
1151,21.6,2025-12-29 12:11:30.581315
1152,1.33,2025-12-29 12:11:42.166962
1153,1,2025-12-29 12:11:50.272222
1154,1.54,2025-12-29 12:12:03.169904
1155,1.8,2025-12-29 12:12:18.657121
1156,2.14,2025-12-29 12:12:34.964834
1157,2.78,2025-12-29 12:23:08.292873
1158,1.47,2025-12-29 12:23:21.054597
1159,2.87,2025-12-29 12:23:41.328982
1160,4,2025-12-29 12:23:47.269186
1161,4.05,2025-12-29 12:24:06.456895
1162,1.42,2025-12-29 12:24:18.661876
1163,1.45,2025-12-29 12:24:31.741923
1164,14.66,2025-12-29 12:25:11.583525
1165,1.49,2025-12-29 12:25:24.923434
1166,1.11,2025-12-29 12:25:34.108684
